simTime,packetType,packetId,sourceNodeType,sourceNodeId,destNodeType,destNodeId
5.224e-005,1,1,1,1,2,1
0.00010448,1,1,2,1,5,3
5.224e-005,1,1,5,3,6,1
1.72e-005,2,1,6,1,5,3
2.536e-005,2,2,6,1,5,3
3.512e-005,3,1,6,1,5,3
4.488e-005,3,2,6,1,5,3
1.88e-005,3,1,5,3,2,1
5.464e-005,3,3,6,1,5,3
4.872e-005,2,1,5,3,4,1
4.872e-005,2,2,5,3,4,2
3.08e-005,3,2,5,3,4,1
2.92e-005,3,3,5,3,4,2
4.872e-005,2,1,4,1,3,1
4.872e-005,2,2,4,1,3,2
4.872e-005,2,1,4,2,3,3
4.872e-005,2,2,4,2,3,4
2.008e-005,4,1,3,1,4,1
2.008e-005,4,1,3,2,4,1
2.008e-005,4,1,3,3,4,2
2.008e-005,4,1,3,4,4,2
4.016e-005,4,1,4,1,5,3
4.016e-005,4,1,4,2,5,3
5.12e-005,4,1,4,1,5,3
5.12e-005,4,1,4,2,5,3
2.008e-005,4,1,5,3,6,1
2.296e-005,4,1,5,3,6,1
3.112e-005,4,1,5,3,6,1
3.4e-005,4,1,5,3,6,1
2.136e-005,6,1,6,1,5,3
2.136e-005,6,1,5,3,2,1
4.272e-005,6,1,2,1,1,1
2.072e-005,7,1,1,1,2,1
2.072e-005,7,1,2,1,5,3
2.072e-005,7,1,5,3,4,1
2.072e-005,7,1,4,1,3,2
1.784e-005,8,1,3,2,4,1
2.696e-005,9,1,3,2,4,1
3.568e-005,8,1,4,1,5,3
4.512e-005,9,1,4,1,5,3
1.784e-005,8,1,5,3,2,1
1.816e-005,9,1,5,3,6,1
3.568e-005,8,1,2,1,1,1
5.224e-005,1,2,1,1,2,1
0.00010448,1,2,2,1,5,3
5.224e-005,1,2,5,3,6,1
1.72e-005,2,3,6,1,5,3
2.536e-005,2,4,6,1,5,3
3.512e-005,3,4,6,1,5,3
4.488e-005,3,5,6,1,5,3
1.88e-005,3,4,5,3,2,1
5.464e-005,3,6,6,1,5,3
4.872e-005,2,3,5,3,4,1
4.872e-005,2,4,5,3,4,2
3.08e-005,3,5,5,3,4,1
2.92e-005,3,6,5,3,4,2
4.872e-005,2,3,4,1,3,1
4.872e-005,2,4,4,1,3,2
4.872e-005,2,3,4,2,3,3
4.872e-005,2,4,4,2,3,4
2.008e-005,4,2,3,1,4,1
2.008e-005,4,2,3,2,4,1
2.008e-005,4,2,3,3,4,2
2.008e-005,4,2,3,4,4,2
4.016e-005,4,2,4,1,5,3
